pregunta,respuesta,texts
¿Cómo se tramita el cambio de pensum en la Facultad de Ingeniería de la Universidad de Antioquia?,Por favor escribe a asuntosestudiantilesingenieria@udea.edu.co para obtener información sobre el proceso para cambiar de pensum.,"Pregunta: ¿Cómo se tramita el cambio de pensum en la Facultad de Ingeniería de la Universidad de Antioquia?
Respuesta: Por favor escribe a asuntosestudiantilesingenieria@udea.edu.co para obtener información sobre el proceso para cambiar de pensum."
¿Pueden indicarme el resultado de un caso específico?,"Por favor escribe a asuntosestudiantilesingenieria@udea.edu.co para revisar tu caso específico.

**Pregunta 2:**
Pregunta: ¿Por qué ingreso al portal y me genera un error al intentar cancelar un curso?","Pregunta: ¿Pueden indicarme el resultado de un caso específico?
Respuesta: Por favor escribe a asuntosestudiantilesingenieria@udea.edu.co para revisar tu caso específico.

**Pregunta 2:**
Pregunta: ¿Por qué ingreso al portal y me genera un error al intentar cancelar un curso?"
Por favor pido su colaboración con cualquier información sobre el seguimiento a mi caso para poder activarme y poder estudiar este semestre.,"Por favor escribe a asuntosestudiantilesingenieria@udea.edu.co para revisar tu caso específico.

Pregunta: La presente es para averiguar el estado del caso ya que me interesa una pronta respuesta para poder matricular este semestre.","Pregunta: Por favor pido su colaboración con cualquier información sobre el seguimiento a mi caso para poder activarme y poder estudiar este semestre.
Respuesta: Por favor escribe a asuntosestudiantilesingenieria@udea.edu.co para revisar tu caso específico.

Pregunta: La presente es para averiguar el estado del caso ya que me interesa una pronta respuesta para poder matricular este semestre."
¿Es posible solicitar matrícula de grados sin haber terminado todos los requisitos?,"Si no has terminado todos los requisitos, es posible que no puedas graduar en la fecha deseada. Por favor, escribe a asuntosestudiantilesingenieria@udea.edu.co para revisar tus opciones y requisitos.","Pregunta: ¿Es posible solicitar matrícula de grados sin haber terminado todos los requisitos?
Respuesta: Si no has terminado todos los requisitos, es posible que no puedas graduar en la fecha deseada. Por favor, escribe a asuntosestudiantilesingenieria@udea.edu.co para revisar tus opciones y requisitos."
¿Cómo puedo realizar la solicitud de un segundo calificador?,"Para solicitar un segundo calificador, por favor escribe a asuntosestudiantilesingenieria@udea.edu.co para que puedan asistirte con tu solicitud.

Pregunta: Ninguna","Pregunta: ¿Cómo puedo realizar la solicitud de un segundo calificador?
Respuesta: Para solicitar un segundo calificador, por favor escribe a asuntosestudiantilesingenieria@udea.edu.co para que puedan asistirte con tu solicitud.

Pregunta: Ninguna"
¿Cómo puedo recurrir si mi solicitud de cancelación de semestre fue denegada?,Por favor escribe a asuntosestudiantilesingenieria@udea.edu.co para revisar los recursos disponibles y procedimientos para interponer un recurso.,"Pregunta: ¿Cómo puedo recurrir si mi solicitud de cancelación de semestre fue denegada?
Respuesta: Por favor escribe a asuntosestudiantilesingenieria@udea.edu.co para revisar los recursos disponibles y procedimientos para interponer un recurso."
¿Qué debo exponer adicional en una carta que estoy diligenciando?,"Si tienes alguna duda sobre la información que debes incluir, te recomendamos consultar con el Departamento de Asuntos Estudiantiles para obtener orientación específica.","Pregunta: ¿Qué debo exponer adicional en una carta que estoy diligenciando?
Respuesta: Si tienes alguna duda sobre la información que debes incluir, te recomendamos consultar con el Departamento de Asuntos Estudiantiles para obtener orientación específica."
¿Qué debo hacer si el profesor de un curso no me ha dado una respuesta a la solicitud de cancelación de curso después de enviarla a través del portal?,"Por favor, verifique que la solicitud de cancelación se haya enviado dentro de las fechas estipuladas para cancelaciones libres y que se haya enviado la respuesta en el plazo de 7 días hábiles. Si no ha recibido respuesta, puede enviar un correo electrónico a asuntosestudiantilesingenieria@udea.edu.co para revisar su caso específico.

Pregunta: ¿Cuál es el plazo para recibir una respuesta a la solicitud de cancelación de curso?","Pregunta: ¿Qué debo hacer si el profesor de un curso no me ha dado una respuesta a la solicitud de cancelación de curso después de enviarla a través del portal?
Respuesta: Por favor, verifique que la solicitud de cancelación se haya enviado dentro de las fechas estipuladas para cancelaciones libres y que se haya enviado la respuesta en el plazo de 7 días hábiles. Si no ha recibido respuesta, puede enviar un correo electrónico a asuntosestudiantilesingenieria@udea.edu.co para revisar su caso específico.

Pregunta: ¿Cuál es el plazo para recibir una respuesta a la solicitud de cancelación de curso?"
¿Cómo puedo cambiar la modalidad de estudio de presencial a virtual?,"Por favor, escribe a asuntosestudiantilesingenieria@udea.edu.co para obtener la información necesaria y procedimientos para realizar el cambio de modalidad de estudio.

Pregunta: Ninguna","Pregunta: ¿Cómo puedo cambiar la modalidad de estudio de presencial a virtual?
Respuesta: Por favor, escribe a asuntosestudiantilesingenieria@udea.edu.co para obtener la información necesaria y procedimientos para realizar el cambio de modalidad de estudio.

Pregunta: Ninguna"
¿Cómo puedo cancelar un curso por tercera vez?,"Si su interés es cancelar un curso por tercera vez y cuenta con una fuerza mayor, puede hacer su solicitud a través de SSOFI para que el Comité de Asuntos Estudiantiles estudie el caso.

Pregunta: ¿Cómo puedo cancelar el semestre?","Pregunta: ¿Cómo puedo cancelar un curso por tercera vez?
Respuesta: Si su interés es cancelar un curso por tercera vez y cuenta con una fuerza mayor, puede hacer su solicitud a través de SSOFI para que el Comité de Asuntos Estudiantiles estudie el caso.

Pregunta: ¿Cómo puedo cancelar el semestre?"
